,country,serial,firmid,wfinal,phase,cor2_1,date_1,time_1,cor2_2,date_2,time_2,cor2_3,date_3,time_3,cor4,cor5,resp,cor7,cor7_oth,eg_cor8,jo_cor8,ma_cor8,cor9,cor10,cor11,cor12,cor13,cor14,cor15,cor16,fir1,fir1_1,fir2,fir3,fir4,fir5,fir6_a,fir6_b,fir7,fir8_1,fir8_2,eg_fir9,jo_fir9,ma_fir9,fir10,fir11_1,fir11_2,fir12,fir13,fir14,fir15,fir16,fir17,fir18,fir19,fir20,fir21_1,fir21_2,fir22,fir23,fir24,fir25,fir26,eg_fir27,jo_fir27,ma_fir27,eg_fir28,jo_fir28,ma_fir28,eg_fir29,jo_fir29,ma_fir29,eg_fir30,jo_fir30,ma_fir30,eg_fir31,jo_fir31,ma_fir31,eg_fir32,jo_fir32,ma_fir32,fir33,fir34,fir35,fir36,fir37,fir37_oth,fir38_1,fir38_2,fir38_3,fir38_4,eg_fir39,jo_fir39,ma_fir39,eg_fir39_1,jo_fir39_1,ma_fir39_1,fir40,fir41,eg_fir42,jo_fir42,ma_fir42,eg_fir42_1,jo_fir42_1,ma_fir42_1,fir44,fir45
0,Egypt,41,81800000041,4.160148,First phase 1st script,Complete,6/27/2022,1582-10-14 10:08:13,,,,,,,Yes,Less than 6,Owner,"Wood Products, Furniture, Paper & Publishing",,Giza,,,Urban,2011,No,No,No,No,,No,3,,0,1,0,1,Male,Primary/ Preparatory,25% or less,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,50000,,,,,,60000,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,25000,,,,,,1 to 5,40,42000,,,,,,Yes,No
1,Egypt,104,81800000104,2.0217957,First phase 1st script,Complete,4/16/2022,1582-10-14 12:49:55,,,,,,,Yes,6 to 49,Owner,Retail or Wholesale or Services of Motor Vehicles,,Cairo,,,Urban,2014,No,No,No,No,,Yes,6,,0,2,3,1,Male,Intermediate Institute/ Higher Institute,more than 75%,DK,2014,150,,,1,,,No,,Yes,1,Yes,1,Yes,Yes,digital tasks are outsourced,,,Yes,Neither/ nor,0,0,,400000,,,,,,DK,,,"0 to less than 100,000 EGP",,,400000,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"0 to less than 100,000 EGP",,,6 to 20,DK,DK,,,Don't know,,,Yes,No
2,Egypt,109,81800000109,2.0217957,First phase 1st script,Complete,4/14/2022,1582-10-14 13:26:29,,,,,,,Yes,6 to 49,Owner,Retail or Wholesale or Services of Motor Vehicles,,Gharbia,,,Urban,2018,No,No,No,No,,Yes,7,,0,0,0,1,Male,Intermediate Institute/ Higher Institute, 26% to 50%,2,2021,170,,,2,,,No,,No,,No,2,No,No,No,,,Yes,Important,0,0,,200000,,,,,,100000,,,,,,150000,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,50000,,,,,,1 to 5,10,90000,,,,,,No,No
3,Egypt,110,81800000110,2.0217957,First phase 1st script,Complete,6/27/2022,1582-10-14 11:36:40,,,,,,,Yes,Less than 6,General Manager,Retail or Wholesale or Services of Motor Vehicles,,Cairo,,,Urban,2013,No,No,No,No,,No,5,,0,2,0,0,Male,Secondary Technical/ (general or Azhar),25% or less,,,,,,,,,,,,,,,,,,,,,,,,,2500000,,,,,,300000,,,,,,DK,,,"200,000  to less than 1,000,000  EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,300000,,,,,,6 to 20,DK,DK,,,"50,000 to less than100,000 EGP",,,No,No
4,Egypt,165,81800000165,2.0217957,First phase 1st script,Complete,4/16/2022,1582-10-14 14:39:32,,,,,,,Yes,6 to 49,Owner,Basic Metals & Metal Products,,Kalyoubia,,,Urban,2004,Yes,No,No,No,,,6,,0,6,0,0,Male,Intermediate Institute/ Higher Institute, 26% to 50%,DK,2019,300,,,70,,,Yes,50,Yes,50,Yes,1,No,No,No,DK,2009,Yes,Important,1,3,,DK,,,"200,000  to less than 1,000,000  EGP",,,150000,,,,,,250000,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,500000,,,,,,21 to 100,55,DK,,,"150,000 to less than200,000 EGP",,,No,No
5,Egypt,412,81800000412,2.0217957,First phase 1st script,Complete,4/16/2022,1582-10-14 16:12:37,,,,,,,No,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,, Alex,,,Urban,2010,No,No,No,No,,No,1,No,,,,,Male,Primary/ Preparatory,25% or less,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,30000,,,,,,1 to 5,20,0,,,,,,No,No
6,Egypt,426,81800000426,2.0217957,First phase 1st script,Complete,5/14/2022,1582-10-14 11:25:08,,,,,,,Yes,50 to 199,Owner,Other Manufacturing or services (specify),Import and Export Company,North Sinai,,,Urban,2005,No,No,No,No,,Yes,50,,0,15,0,2,Male,Secondary Technical/ (general or Azhar),25% or less,10,2015,1800,,,10,,,No,,No,,Yes,0,No,No,No,,,Yes,Very important,30,15,,3500000,,,,,,1000000,,,,,,6000000,,,,,,Yes,30,No,,"private domestic individuals, companies or organizations",,100,0,0,0,800000,,,,,,101 or more,20,300000,,,,,,No,No
7,Egypt,475,81800000475,2.0217957,First phase 1st script,Complete,6/5/2022,1582-10-14 17:31:04,,,,,,,Yes,Less than 6,Owner,Other Manufacturing or services (specify),Beauty Centers and Barber, Fayoum,,,Urban,2017,No,No,No,No,,Yes,3,,3,0,0,2,Female,Secondary Technical/ (general or Azhar),25% or less,4,2022,140,,,30,,,No,,Yes,40,No,0,Yes,No,No,,,Yes,Very important,0,5,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"0 to less than 100,000 EGP",,,101 or more,100,12000,,,,,,No,No
8,Egypt,532,81800000532,2.0217957,First phase 1st script,Complete,5/17/2022,1582-10-14 12:39:18,,,,,,,Yes,Less than 6,Owner,Textile & Garments,,Behera,,,Urban,2000,No,No,No,No,,No,1,No,,,,,Male,Secondary Technical/ (general or Azhar),25% or less,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,Don't know,,,21 to 100,DK,0,,,,,,No,No
9,Egypt,699,81800000699,2.0217957,First phase 1st script,Complete,4/14/2022,1582-10-14 13:47:27,,,,,,,Yes,Less than 6,Owner,"Wood Products, Furniture, Paper & Publishing",,Cairo,,,Urban,2018,No,No,No,No,,Yes,1,No,,,,,Male,Secondary Technical/ (general or Azhar),more than 75%,DK,DK,DK,,,40,,,No,,No,,No,0,No,No,No,,,Yes,Important,0,0,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,5000,,,,,,1 to 5,DK,24000,,,,,,No,No
