"lat","long","elev","name","Year","Temp"
-14.3,126.65,23,"KALUMBURU",1980,34.23934
-18.23,127.66,422,"HALLS CREEK",1980,33.0659
-17.95,122.24,7.4,"BROOME AIRPORT",1980,32.60082
-20.37,118.63,6.4,"PORT HEDLAND AIRPORT",1980,33.95378
-21.18,119.75,182.3,"MARBLE BAR",1980,35.29587
-22.24,114.1,5,"LEARMONTH AIRPORT",1980,30.92378
-22.24,118.34,463,"WITTENOOM",1980,32.59553
-24.89,113.67,4,"CARNARVON AIRPORT",1980,27.45273
-26.61,118.54,517,"MEEKATHARRA AIRPORT",1980,29.04481
-29.2,116.02,271.4,"MORAWA AIRPORT",1980,27.4624
-30.28,116.67,324.5,"DALWALLINU",1980,25.78898
-28.8,114.7,29.7,"GERALDTON AIRPORT",1980,25.21694
-31.93,115.98,15.4,"PERTH AIRPORT",1980,24.37049
-34.37,115.14,13,"CAPE LEEUWIN",1980,19.33836
-33.95,116.13,178.7,"BRIDGETOWN",1980,21.39778
-33.83,121.89,25,"ESPERANCE",1980,21.60546
-34.94,117.82,68.4,"ALBANY",1980,19.56311
-31.48,118.28,315,"MERREDIN",1980,25.58087
-31.62,117.22,216.7,"CUNDERDIN",1980,25.25666
-33.69,117.61,320,"KATANNING",1980,21.67322
-32.67,116.67,275,"WANDERING",1980,22.63499
-31.68,128.9,93.1,"EUCLA",1980,23.29016
-30.85,128.11,159,"FORREST",1980,26.14411
-30.78,121.45,365.3,"KALGOORLIE-BOULDER",1980,25.50601
-25.03,128.3,598,"GILES",1980,30.2429
-12.42,130.89,30.4,"DARWIN",1980,32.34836
-16.4,131.01,88.5,"VICTORIA RIVER DOWNS",1980,35.46555
-19.64,134.18,375.7,"TENNANTCREEKAIRPORT",1980,32.77885
-23.8,133.89,546,"ALICE SPRINGS",1980,30.69754
-20.18,130.01,340,"RABBIT FLAT",1980,35.19083
-31.16,136.81,166.6,"WOOMERA",1980,26.76284
-30.71,134.58,123,"TARCOOLA",1980,27.24536
-27.56,135.45,116.5,"OODNADATTA",1980,30.23197
-29.66,138.07,50,"MARREE",1980,29.08802
-32.13,133.7,15.3,"CEDUNAAMO",1980,23.59614
-33.13,135.55,59,"KYANCUTTA",1980,25.53453
-34.6,135.88,8.5,"PORT LINCOLN",1980,21.02857
-33.77,138.22,109.1,"RAYVILLEPARK",1980,23.78892
