"Discount","Customer ID","Ship Mode","Customer Segment","Product Category","Product Name","Region","Order Date","Ship Date","Order ID","Profit","Quantity ordered new","Sales"
0.01,"3","2","2","2","SANFORD Liquid Accent™ Tank-Style Highlighters","4",42011,42012,"88522",4.56,4,13.01
0.02,"5","1","3","1","Global Troy™ Executive Leather Low-Back Tilter","4",42168,42170,"90193",411.5172,12,1913.84
0.06,"11","3","3","1","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7","2",42050,42052,"90192",-53.8096,22,211.15
0.09,"14","3","4","1","Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock","1",42136,42138,"86838",411.5172,16,1164.45
0.08,"14","3","4","2","Newell 321","1",42136,42137,"86838",-24.03,7,22.23
0.05,"14","3","4","2","Newell 351","1",42136,42137,"86838",-37.03,4,1913.84
0.05,"14","3","4","2","OIC Colored Binder Clips, Assorted Sizes","1",42136,42137,"86838",-0.71,4,14.26
0,"15","3","4","2","Grip Seal Envelopes","2",42102,42103,"86837",-59.82,7,33.47
0.01,"15","3","4","2","Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray","2",42152,42152,"86839",261.8757,10,379.53
0.04,"16","3","4","2","Staples Gold Paper Clips","2",42047,42050,"86836",2.63,6,18.8
0.05,"16","3","4","3","StarTAC 7797","2",42047,42049,"86836",411.5172,10,945.99
0.05,"18","3","4","1","DAX Natural Wood-Tone Poster Frame","4",42139,42140,"90031",314.4813,17,455.77
0.07,"19","3","4","3","Hewlett Packard 6S Scientific Calculator","4",42145,42147,"90032",-114.6399,18,231.79
0.05,"21","3","4","1","DAX Natural Wood-Tone Poster Frame","2",42139,42140,"41793",384.38,70,1876.69
0.08,"21","3","4","2","Advantus Plastic Paper Clips","2",42145,42146,"42949",-17.49,58,293.06
0.07,"21","3","4","3","Hewlett Packard 6S Scientific Calculator","2",42145,42147,"42949",-114.6399,71,914.29
0.06,"24","3","2","2","Xerox 194","4",42032,42033,"87651",-28.2968,1,67.49
0.02,"24","3","2","2","Newell 323","4",42032,42034,"87651",-5.3072,1,2.25
0.04,"27","3","2","1","Eldon Image Series Black Desk Accessories","4",42126,42128,"87652",8.89400000000001,12,54.78
0.08,"32","3","2","2","Hunt Boston® Vacuum Mount KS Pencil Sharpener","4",42057,42058,"89199",144.69,12,424.68
0.01,"32","3","2","3","Canon P1-DHIII Palm Printing Calculator","4",42090,42091,"89200",-35.8788,2,40.17
0.09,"32","2","2","3","StarTAC 3000","4",42024,42026,"89202",209.997,8,783.55
0.06,"32","3","2","3","TimeportP7382","4",42075,42082,"89203",411.5172,22,1913.84
0.03,"33","3","2","2","Storex DuraTech Recycled Plastic Frosted Binders","4",42170,42172,"89201",-84.4376,13,58.68
0.05,"33","3","2","2","Newell 338","4",42170,42171,"89201",24.312,18,53.1
0,"43","3","1","3","AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting","4",42134,42135,"91454",25.91382,6,647.07
0,"52","3","2","3","6160","4",42073,42073,"88426",162.666,6,627.04
0.07,"53","1","2","3","Okidata Pacemark 4410N Wide Format Dot Matrix Printer","4",42032,42034,"88425",-381.8412,1,1913.84
0.02,"53","3","2","2","Xerox 1903","4",42073,42074,"88426",-67.49,17,110.19
0.06,"56","3","1","2","Durable Pressboard Binders","2",42114,42115,"88075",19.6282,20,73.55
0.06,"56","3","1","2","Newell 310","2",42114,42115,"88075",-1.6524,17,29.57
0.02,"62","3","2","2","Xerox 193","1",42133,42135,"87407",2.14,3,22.85
0.04,"62","3","2","2","Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate","1",42167,42169,"87408",349.4091,17,506.39
0,"64","3","4","2","Avery 501","3",42065,42067,"87406",-37.5291,1,4
0.02,"64","2","4","3","5165","3",42065,42065,"87406",101.49,4,589.8
0.05,"67","3","2","2","Dual Level, Single-Width Filing Carts","4",42006,42013,"87946",411.5172,8,1225.6
0,"68","1","2","1","Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs","2",42006,42006,"37537",-308.928,4,1239.06
0.07,"68","1","2","1","Hon Valutask™ Swivel Chairs","2",42006,42008,"37537",-381.8412,43,1913.84
0.05,"68","3","2","2","Dual Level, Single-Width Filing Carts","2",42006,42013,"37537",411.5172,32,1913.84
0.09,"68","1","2","1","Global High-Back Leather Tilter, Burgundy","2",42037,42039,"55713",-381.8412,49,1913.84
0.09,"70","1","2","1","Global High-Back Leather Tilter, Burgundy","2",42037,42039,"87947",-381.8412,12,1400.53
0.04,"83","1","2","1","Hon 94000 Series Round Tables","2",42078,42078,"87365",-381.8412,6,1821.89
0,"84","3","1","1","6"" Cubicle Wall Clock, Black","2",42037,42038,"87364",-144.56,11,90.98
0.08,"84","3","2","2","GBC DocuBind TL300 Electric Binding System","2",42093,42096,"87366",411.5172,13,1913.84
0.05,"87","3","2","2","Fellowes Super Stor/Drawer® Files","4",42158,42163,"90596",411.5172,19,1913.84
0.09,"87","3","2","2","Avery 493","4",42085,42086,"90597",28.8558,9,41.82
0.01,"87","1","2","1","Hon 94000 Series Round Tables","4",42085,42088,"90597",173.48,9,1913.84
0.07,"91","3","3","2","Prismacolor Color Pencil Set","4",42141,42142,"87175",117.852,9,170.8
0.05,"91","3","3","2","Array® Memo Cubes","4",42053,42055,"87176",34.0104,10,53.54
0.06,"91","3","2","3","2180","4",42067,42069,"87177",411.5172,23,1913.84
0.07,"92","3","3","2","REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages","3",42141,42143,"87175",-190.68,16,132.08
0.09,"92","3","3","2","Xerox 1897","3",42141,42142,"87175",325.398,9,45.34
